"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","1,937.11","1,934.51","1,943.07","1,921.14","761.69M","0.51%"
"May 15, 2020","1,927.28","1,937.63","1,938.59","1,913.21","866.36M","0.12%"
"May 14, 2020","1,924.96","1,922.44","1,931.43","1,913.49","760.65M","-0.80%"
"May 13, 2020","1,940.42","1,897.50","1,940.42","1,897.24","618.78M","0.95%"
"May 12, 2020","1,922.17","1,938.62","1,938.62","1,905.17","799.93M","-0.68%"
"May 11, 2020","1,935.40","1,953.51","1,960.46","1,932.87","591.28M","-0.54%"
"May 08, 2020","1,945.82","1,944.94","1,956.89","1,942.54","784.77M","0.89%"
"May 07, 2020","1,928.61","1,922.00","1,938.50","1,918.57","775.66M","-0.01%"
"May 06, 2020","1,928.76","1,919.45","1,928.76","1,902.55","1.08B","1.76%"
"May 04, 2020","1,895.37","1,906.42","1,918.66","1,894.29","1.15B","-2.68%"
"Apr 29, 2020","1,947.56","1,936.89","1,957.51","1,934.31","1.98B","0.70%"
"Apr 28, 2020","1,934.09","1,931.25","1,941.79","1,911.63","1.17B","0.59%"
"Apr 27, 2020","1,922.77","1,897.06","1,929.82","1,894.62","735.66M","1.79%"
"Apr 24, 2020","1,889.01","1,906.07","1,908.29","1,880.71","933.92M","-1.34%"
"Apr 23, 2020","1,914.73","1,907.45","1,923.53","1,895.98","683.72M","0.98%"
"Apr 22, 2020","1,896.15","1,855.51","1,897.90","1,844.85","820.36M","0.89%"
"Apr 21, 2020","1,879.38","1,886.78","1,898.32","1,841.66","1.17B","-1.00%"
"Apr 20, 2020","1,898.36","1,908.34","1,925.25","1,893.17","1.09B","-0.84%"
"Apr 17, 2020","1,914.53","1,893.31","1,926.02","1,893.19","1.67B","3.09%"
"Apr 16, 2020","1,857.07","1,839.51","1,862.23","1,828.13","878.34M","-0.00%"
"Apr 14, 2020","1,857.08","1,846.41","1,864.46","1,837.17","886.77M","1.72%"
"Apr 13, 2020","1,825.76","1,853.30","1,853.30","1,825.76","1.02B","-1.88%"
"Apr 10, 2020","1,860.70","1,835.76","1,861.10","1,824.43","992.55M","1.33%"
"Apr 09, 2020","1,836.21","1,838.09","1,839.33","1,818.30","920.57M","1.61%"
"Apr 08, 2020","1,807.14","1,815.75","1,842.16","1,801.80","907.49M","-0.90%"
"Apr 07, 2020","1,823.60","1,826.72","1,838.97","1,791.92","951.74M","1.77%"
"Apr 06, 2020","1,791.88","1,745.25","1,794.19","1,742.67","1.22B","3.85%"
"Apr 03, 2020","1,725.44","1,731.17","1,743.91","1,706.68","1.00B","0.03%"
"Apr 02, 2020","1,724.86","1,693.53","1,726.76","1,664.13","766.31M","2.34%"
"Apr 01, 2020","1,685.46","1,737.28","1,762.44","1,685.37","1.24B","-3.94%"
"Mar 31, 2020","1,754.64","1,739.29","1,757.81","1,722.62","1.04B","2.19%"
"Mar 30, 2020","1,717.12","1,670.34","1,729.63","1,659.95","767.78M","-0.04%"
"Mar 27, 2020","1,717.73","1,756.07","1,759.05","1,668.21","1.08B","1.87%"
"Mar 26, 2020","1,686.24","1,699.11","1,735.75","1,679.23","992.47M","-1.09%"
"Mar 25, 2020","1,704.76","1,668.19","1,707.64","1,645.28","872.81M","5.89%"
"Mar 24, 2020","1,609.97","1,523.69","1,609.97","1,508.68","679.29M","8.60%"
"Mar 23, 2020","1,482.46","1,474.45","1,516.75","1,458.41","647.53M","-5.34%"
"Mar 20, 2020","1,566.15","1,498.49","1,566.82","1,466.48","817.02M","7.44%"
"Mar 19, 2020","1,457.64","1,626.09","1,626.09","1,439.43","977.67M","-8.39%"
"Mar 18, 2020","1,591.20","1,686.12","1,693.95","1,591.12","728.01M","-4.86%"
"Mar 17, 2020","1,672.44","1,640.84","1,722.97","1,637.88","649.78M","-2.47%"
"Mar 16, 2020","1,714.86","1,805.43","1,805.43","1,714.38","682.00M","-3.19%"
"Mar 13, 2020","1,771.44","1,722.68","1,809.31","1,680.60","1.04B","-3.43%"
